'',''
20,上高井郡　小布施町
20,上高井郡　高山村
20,下高井郡　山ノ内町
20,下高井郡　木島平村
20,下高井郡　野沢温泉村
20,上水内郡　信濃町
20,上水内郡　小川村
20,上水内郡　飯綱町
20,下水内郡　栄村
21,岐阜市
21,大垣市
21,高山市
21,多治見市
21,関市
21,中津川市
21,美濃市
21,瑞浪市
21,羽島市
21,恵那市
21,美濃加茂市
21,土岐市
21,各務原市
21,可児市
21,山県市
21,瑞穂市
21,飛騨市
21,本巣市
21,郡上市
21,下呂市
21,海津市
21,羽島郡　岐南町
21,羽島郡　笠松町
21,養老郡　養老町
21,不破郡　垂井町
21,不破郡　関ヶ原町
21,安八郡　神戸町
21,安八郡　輪之内町
21,安八郡　安八町
21,揖斐郡　揖斐川町
21,揖斐郡　大野町
21,揖斐郡　池田町
21,本巣郡　北方町
21,加茂郡　坂祝町
21,加茂郡　富加町
21,加茂郡　川辺町
21,加茂郡　七宗町
21,加茂郡　八百津町
21,加茂郡　白川町
21,加茂郡　東白川村
21,可児郡　御嵩町
21,大野郡　白川村
22,静岡市
22,静岡市　葵区
22,静岡市　駿河区
22,静岡市　清水区
22,浜松市
22,浜松市　中区
22,浜松市　東区
22,浜松市　西区
22,浜松市　南区
22,浜松市　北区
22,浜松市　浜北区
22,浜松市　天竜区
22,沼津市
22,熱海市
22,三島市
22,富士宮市
22,伊東市
22,島田市
22,富士市
22,磐田市
22,焼津市
22,掛川市
22,藤枝市
22,御殿場市
22,袋井市
22,下田市
22,裾野市
22,湖西市
22,伊豆市
22,御前崎市
22,菊川市
22,伊豆の国市
22,牧之原市
22,賀茂郡　東伊豆町
22,賀茂郡　河津町
22,賀茂郡　南伊豆町
22,賀茂郡　松崎町
22,賀茂郡　西伊豆町
22,田方郡　函南町
22,駿東郡　清水町
22,駿東郡　長泉町
22,駿東郡　小山町
22,榛原郡　吉田町
22,榛原郡　川根本町
22,周智郡　森町
23,名古屋市　千種区
23,名古屋市　東区
23,名古屋市　北区
23,名古屋市　西区
23,名古屋市　中村区
23,名古屋市　中区
23,名古屋市　昭和区
23,名古屋市　瑞穂区
23,名古屋市　熱田区
23,名古屋市　中川区
23,名古屋市　港区
23,名古屋市　南区
23,名古屋市　守山区
23,名古屋市　緑区
23,名古屋市　名東区
23,名古屋市　天白区
23,豊橋市
23,岡崎市
23,一宮市
23,瀬戸市
23,半田市
23,春日井市
23,豊川市
23,津島市
23,碧南市
23,刈谷市
23,豊田市
23,安城市
23,西尾市
23,蒲郡市
23,犬山市
23,常滑市
23,江南市
23,小牧市
23,稲沢市
23,新城市
23,東海市
23,大府市
23,知多市
23,知立市
23,尾張旭市
23,高浜市
23,岩倉市
23,豊明市
23,日進市
23,田原市
23,愛西市
23,清須市
23,北名古屋市
23,弥富市
23,みよし市
23,あま市
23,愛知郡　東郷町
23,愛知郡　長久手町
23,西春日井郡　豊山町
23,丹羽郡　大口町
23,丹羽郡　扶桑町
23,海部郡　大治町
23,海部郡　蟹江町
23,海部郡　飛島村
23,海部郡　弥富町
23,知多郡　阿久比町
23,知多郡　東浦町
23,知多郡　南知多町
23,知多郡　美浜町
23,知多郡　武豊町
23,幡豆郡　一色町
23,幡豆郡　吉良町
23,幡豆郡　幡豆町
23,額田郡　幸田町
23,北設楽郡　設楽町
23,北設楽郡　東栄町
23,北設楽郡　豊根村
24,津市
24,四日市市
24,伊勢市
24,松阪市
24,桑名市
24,鈴鹿市
24,名張市
24,尾鷲市
24,亀山市
24,鳥羽市
24,熊野市
24,いなべ市
24,志摩市
24,伊賀市
24,桑名郡　木曽岬町
24,員弁郡　東員町
24,三重郡　菰野町
24,三重郡　朝日町
24,三重郡　川越町
24,多気郡　多気町
24,多気郡　明和町
24,多気郡　大台町
24,度会郡　玉城町
24,度会郡　紀勢町
24,度会郡　大内山村
24,度会郡　度会町
24,度会郡　大紀町
24,度会郡　南伊勢町
24,北牟婁郡　紀北町
24,南牟婁郡　御浜町
24,南牟婁郡　紀宝町
25,大津市
25,彦根市
25,長浜市
25,近江八幡市
25,草津市
25,守山市
25,栗東市
25,甲賀市
25,野洲市
25,湖南市
25,高島市
25,東近江市
25,米原市
25,蒲生郡　日野町
25,蒲生郡　竜王町
25,愛知郡　愛荘町
25,犬上郡　豊郷町
25,犬上郡　甲良町
25,犬上郡　多賀町
26,京都市　北区
26,京都市　上京区
26,京都市　左京区
26,京都市　中京区
26,京都市　東山区
26,京都市　下京区
26,京都市　南区
26,京都市　右京区
26,京都市　伏見区
26,京都市　山科区
26,京都市　西京区
26,福知山市
26,舞鶴市
26,綾部市
26,宇治市
26,宮津市
26,亀岡市
26,城陽市
26,向日市
26,長岡京市
26,八幡市
26,京田辺市
26,京丹後市
26,南丹市
26,木津川市
26,乙訓郡　大山崎町
26,久世郡　久御山町
26,綴喜郡　井手町
26,綴喜郡　宇治田原町
26,相楽郡　笠置町
26,相楽郡　和束町
26,相楽郡　精華町
26,相楽郡　南山城村
26,船井郡　京丹波町
26,与謝郡　伊根町
26,与謝郡　与謝野町
27,大阪市　都島区
27,大阪市　福島区
27,大阪市　此花区
27,大阪市　西区
27,大阪市　港区
27,大阪市　大正区
27,大阪市　天王寺区
27,大阪市　浪速区
27,大阪市　西淀川区
27,大阪市　東淀川区
27,大阪市　東成区
27,大阪市　生野区
27,大阪市　旭区
27,大阪市　城東区
27,大阪市　阿倍野区
27,大阪市　住吉区
27,大阪市　東住吉区
27,大阪市　西成区
27,大阪市　淀川区
27,大阪市　鶴見区
27,大阪市　住之江区
27,大阪市　平野区
27,大阪市　北区
27,大阪市　中央区
27,堺市
27,堺市　堺区
27,堺市　中区
27,堺市　東区
27,堺市　西区
27,堺市　南区
27,堺市　北区
27,堺市　美原区
27,岸和田市
27,豊中市
27,池田市
27,吹田市
27,泉大津市
27,高槻市
27,貝塚市
27,守口市
27,枚方市
27,茨木市
27,八尾市
27,泉佐野市
27,富田林市
27,寝屋川市
27,河内長野市
27,松原市
27,大東市
27,和泉市
27,箕面市
27,柏原市
27,羽曳野市
27,門真市
27,摂津市
27,高石市
27,藤井寺市
27,東大阪市
27,泉南市
27,四條畷市
27,交野市
27,大阪狭山市
27,阪南市
27,三島郡　島本町
27,豊能郡　豊能町
27,豊能郡　能勢町
27,泉北郡　忠岡町
27,泉南郡　熊取町
27,泉南郡　田尻町
27,泉南郡　岬町
27,南河内郡　太子町
27,南河内郡　河南町
27,南河内郡　千早赤阪村
28,神戸市　東灘区
28,神戸市　灘区
28,神戸市　兵庫区
28,神戸市　長田区
28,神戸市　須磨区
28,神戸市　垂水区
28,神戸市　北区
28,神戸市　中央区
28,神戸市　西区
28,姫路市
28,尼崎市
28,明石市
28,西宮市
28,洲本市
28,芦屋市
28,伊丹市
28,相生市
28,豊岡市
28,加古川市
28,赤穂市
28,西脇市
28,宝塚市
28,三木市
28,高砂市
28,川西市
28,小野市
28,三田市
28,加西市
28,篠山市
28,養父市
28,丹波市
28,南あわじ市
28,朝来市
28,淡路市
28,宍粟市
28,加東市
28,たつの市
28,川辺郡　猪名川町
28,多可郡　多可町
28,加古郡　稲美町
28,加古郡　播磨町
28,神崎郡　市川町
28,神崎郡　福崎町
28,神崎郡　神河町
28,揖保郡　太子町
28,赤穂郡　上郡町
28,佐用郡　佐用町
28,美方郡　香美町
28,美方郡　新温泉町
29,奈良市
29,大和高田市
29,大和郡山市
29,天理市
29,橿原市
29,桜井市
29,五條市
29,御所市
29,生駒市
29,香芝市
29,葛城市
29,宇陀市
29,山辺郡　山添村
29,生駒郡　平群町
29,生駒郡　三郷町
29,生駒郡　斑鳩町
29,生駒郡　安堵町
29,磯城郡　川西町
29,磯城郡　三宅町
29,磯城郡　田原本町
29,宇陀郡　曽爾村
29,宇陀郡　御杖村
29,高市郡　高取町
29,高市郡　明日香村
29,北葛城郡　上牧町
29,北葛城郡　王寺町
29,北葛城郡　広陵町
29,北葛城郡　河合町
29,吉野郡　吉野町
29,吉野郡　大淀町
29,吉野郡　下市町
29,吉野郡　黒滝村
29,吉野郡　天川村
29,吉野郡　野迫川村
29,吉野郡　十津川村
29,吉野郡　下北山村
29,吉野郡　上北山村
29,吉野郡　川上村
29,吉野郡　東吉野村
30,和歌山市
30,海南市
30,橋本市
30,有田市
30,御坊市
30,田辺市
30,新宮市
30,紀の川市
30,岩出市
30,海草郡　紀美野町
30,伊都郡　かつらぎ町
30,伊都郡　九度山町
30,伊都郡　高野町
30,有田郡　湯浅町
30,有田郡　広川町
30,有田郡　有田川町
30,日高郡　美浜町
30,日高郡　日高町
30,日高郡　由良町
30,日高郡　印南町
30,日高郡　みなべ町
30,日高郡　日高川町
30,西牟婁郡　白浜町
30,西牟婁郡　上富田町
30,西牟婁郡　すさみ町
30,東牟婁郡　那智勝浦町
30,東牟婁郡　太地町
30,東牟婁郡　古座川町
30,東牟婁郡　北山村
30,東牟婁郡　串本町
31,鳥取市
31,米子市
31,倉吉市
31,境港市
31,岩美郡　岩美町
31,八頭郡　若桜町
31,八頭郡　智頭町
31,八頭町
31,東伯郡　三朝町
31,東伯郡　湯梨浜町
31,東伯郡　琴浦町
31,東伯郡　北栄町
31,西伯郡　日吉津村
31,西伯郡　大山町
31,西伯郡　南部町
31,西伯郡　伯耆町
31,日野郡　日南町
31,日野郡　日野町
31,日野郡　江府町
32,松江市
32,浜田市
32,出雲市
32,益田市
32,大田市
32,安来市
32,江津市
32,雲南市
32,八束郡　東出雲町
32,仁多郡　奥出雲町
32,飯石郡　飯南町
32,簸川郡　斐川町
32,邑智郡　川本町
32,邑智郡　美郷町
32,邑智郡　邑南町
32,鹿足郡　津和野町
32,鹿足郡　吉賀町
32,隠岐郡　海士町
32,隠岐郡　西ノ島町
32,隠岐郡　知夫村
32,隠岐郡　隠岐の島町
33,岡山市　北区
33,岡山市　中区
33,岡山市　東区
33,岡山市　南区
33,倉敷市
33,津山市
33,玉野市
33,笠岡市
33,井原市
33,総社市
33,高梁市
33,新見市
33,備前市
33,瀬戸内市
33,赤磐市
33,真庭市
33,美作市
33,浅口市
33,御津郡　御津町
33,和気郡　和気町
33,児島郡　灘崎町
33,都窪郡　早島町
33,浅口郡　里庄町
33,小田郡　矢掛町
33,真庭郡　新庄村
33,苫田郡　鏡野町
33,勝田郡　勝央町
33,勝田郡　奈義町
33,英田郡　西粟倉村
33,久米郡　久米南町
33,久米郡　美咲町
33,加賀郡　吉備中央町
34,広島市　中区
34,広島市　東区
34,広島市　南区
34,広島市　西区
34,広島市　安佐南区
34,広島市　安佐北区
34,広島市　安芸区
34,広島市　佐伯区
34,呉市
34,竹原市
34,三原市
34,尾道市
34,福山市
34,府中市
34,三次市
34,庄原市
34,大竹市
34,東広島市
34,廿日市市
34,安芸高田市
34,江田島市
34,安芸郡　府中町
34,安芸郡　海田町
34,安芸郡　熊野町
34,安芸郡　坂町
34,山県郡　安芸太田町
34,山県郡　北広島町
34,豊田郡　大崎上島町
34,世羅郡　世羅町
34,沼隈郡　内海町
34,沼隈郡　沼隈町
34,芦品郡　新市町
34,神石郡　神石高原町
35,下関市
35,宇部市
35,山口市
35,萩市
35,防府市
35,下松市
35,岩国市
35,光市
35,長門市
35,柳井市
35,美祢市
35,周南市
35,山陽小野田市
35,大島郡　周防大島町
35,玖珂郡　和木町
35,熊毛郡　上関町
35,熊毛郡　田布施町
35,熊毛郡　平生町
35,阿武郡　阿武町
36,徳島市
36,鳴門市
36,小松島市
36,阿南市
36,吉野川市
36,阿波市
36,美馬市
36,三好市
36,勝浦郡　勝浦町
36,勝浦郡　上勝町
36,名東郡　佐那河内村
36,名西郡　石井町
36,名西郡　神山町
36,那賀郡　那賀町
36,海部郡　牟岐町
36,海部郡　美波町
36,海部郡　海陽町
36,板野郡　松茂町
36,板野郡　北島町
36,板野郡　藍住町
36,板野郡　板野町
36,板野郡　上板町
36,美馬郡　つるぎ町
36,三好郡　東みよし町
37,高松市
37,丸亀市
37,坂出市
37,善通寺市
37,観音寺市
37,さぬき市
37,東かがわ市
37,三豊市
37,小豆郡　土庄町
37,小豆郡　小豆島町
37,木田郡　三木町
37,香川郡　直島町
37,綾歌郡　宇多津町
37,綾歌郡　綾川町
37,仲多度郡　琴平町
37,仲多度郡　多度津町
37,仲多度郡　まんのう町
38,松山市
38,今治市
38,宇和島市
38,八幡浜市
38,新居浜市
38,西条市
38,大洲市
38,伊予市
38,四国中央市
38,西予市
38,東温市
38,越智郡　上島町
38,上浮穴郡　久万高原町
38,伊予郡　松前町
38,伊予郡　砥部町
38,喜多郡　内子町
38,喜多郡　河辺村
38,西宇和郡　保内町
38,西宇和郡　伊方町
38,北宇和郡　松野町
38,北宇和郡　鬼北町
38,南宇和郡　愛南町
39,高知市
39,室戸市
39,安芸市
39,南国市
39,土佐市
39,須崎市
39,宿毛市
39,土佐清水市
39,四万十市
39,香南市
39,香美市
39,安芸郡　東洋町
39,安芸郡　奈半利町
39,安芸郡　田野町
39,安芸郡　安田町
39,安芸郡　北川村
39,安芸郡　馬路村
39,安芸郡　芸西村
39,長岡郡　本山町
39,長岡郡　大豊町
39,土佐郡　土佐町
39,土佐郡　大川村
39,吾川郡　いの町
39,吾川郡　仁淀川町
39,高岡郡　中土佐町
39,高岡郡　佐川町
39,高岡郡　越知町
39,高岡郡　檮原町
39,高岡郡　日高村
39,高岡郡　津野町
39,高岡郡　四万十町
39,幡多郡　大月町
39,幡多郡　三原村
39,幡多郡　黒潮町
40,北九州市　門司区
40,北九州市　若松区
40,北九州市　戸畑区
40,北九州市　小倉北区
40,北九州市　小倉南区
40,北九州市　八幡東区
40,北九州市　八幡西区
40,福岡市　東区
40,福岡市　博多区
40,福岡市　中央区
40,福岡市　南区
40,福岡市　西区
40,福岡市　城南区
40,福岡市　早良区
40,大牟田市
40,久留米市
40,直方市
40,飯塚市
40,田川市
40,柳川市
40,八女市
40,筑後市
40,大川市
40,行橋市
40,豊前市
40,中間市
40,小郡市
40,筑紫野市
40,春日市
40,大野城市
40,宗像市
40,太宰府市
40,古賀市
40,福津市
40,うきは市
40,宮若市
40,嘉麻市
40,朝倉市
40,みやま市
40,糸島市
40,筑紫郡　那珂川町
40,糟屋郡　宇美町
40,糟屋郡　篠栗町
40,糟屋郡　志免町
40,糟屋郡　須恵町
40,糟屋郡　新宮町
40,糟屋郡　久山町
40,糟屋郡　粕屋町
40,遠賀郡　芦屋町
40,遠賀郡　水巻町
40,遠賀郡　岡垣町
40,遠賀郡　遠賀町
40,鞍手郡　小竹町
40,鞍手郡　鞍手町
40,嘉穂郡　桂川町
40,朝倉郡　筑前町
40,東峰村
40,三井郡　大刀洗町
40,三潴郡　大木町
40,八女郡　広川町
40,田川郡　香春町
40,田川郡　添田町
40,田川郡　糸田町
40,田川郡　川崎町
40,田川郡　大任町
40,田川郡　赤村
40,田川郡　福智町
40,京都郡　苅田町
40,京都郡　みやこ町
40,築上郡　吉富町
40,築上郡　上毛町
40,築上郡　築上町
41,佐賀市
41,唐津市
41,鳥栖市
41,多久市
41,伊万里市
41,武雄市
41,鹿島市
41,小城市
41,嬉野市
41,神埼市
41,神埼郡　吉野ヶ里町
41,三養基郡　基山町
41,三養基郡　上峰町
41,三養基郡　みやき町
41,東松浦郡　玄海町
41,西松浦郡　有田町
41,杵島郡　大町町
41,杵島郡　江北町
41,杵島郡　白石町
41,藤津郡　太良町
42,長崎市
42,佐世保市
42,島原市
42,諫早市
42,大村市
42,平戸市
42,松浦市
42,対馬市
42,壱岐市
42,五島市
42,西海市
42,雲仙市
42,南島原市
42,西彼杵郡　長与町
42,西彼杵郡　時津町
42,東彼杵郡　東彼杵町
42,東彼杵郡　川棚町
42,東彼杵郡　波佐見町
42,北松浦郡　小値賀町
42,北松浦郡　佐々町
42,南松浦郡　新上五島町
43,熊本市
43,八代市
43,人吉市
43,荒尾市
43,水俣市
43,玉名市
43,山鹿市
43,菊池市
43,宇土市
43,上天草市
43,宇城市
43,阿蘇市
43,天草市
43,合志市
43,下益城郡　富合町
43,下益城郡　美里町
43,玉名郡　玉東町
43,玉名郡　南関町
43,玉名郡　長洲町
43,玉名郡　和水町
43,菊池郡　大津町
43,菊池郡　菊陽町
43,阿蘇郡　南小国町
43,阿蘇郡　小国町
43,阿蘇郡　産山村
43,阿蘇郡　高森町
43,阿蘇郡　西原村
43,阿蘇郡　南阿蘇村
43,上益城郡　御船町
43,上益城郡　嘉島町
43,上益城郡　益城町
43,上益城郡　甲佐町
43,上益城郡　山都町
43,八代郡　氷川町
43,葦北郡　芦北町
43,葦北郡　津奈木町
43,球磨郡　錦町
43,球磨郡　多良木町
43,球磨郡　湯前町
43,球磨郡　水上村
43,球磨郡　相良村
43,球磨郡　五木村
43,球磨郡　山江村
43,球磨郡　球磨村
43,球磨郡　あさぎり町
43,天草郡　苓北町
44,大分市
44,別府市
44,中津市
44,日田市
44,佐伯市
44,臼杵市
44,津久見市
44,竹田市
44,豊後高田市
44,杵築市
44,宇佐市
44,豊後大野市
44,由布市
44,国東市
44,東国東郡　姫島村
44,速見郡　日出町
44,玖珠郡　九重町
44,玖珠郡　玖珠町
45,宮崎市
45,都城市
45,延岡市
45,日南市
45,小林市
45,日向市
45,串間市
45,西都市
45,えびの市
45,北諸県郡　三股町
45,西諸県郡　高原町
45,東諸県郡　国富町
45,東諸県郡　綾町
45,児湯郡　高鍋町
45,児湯郡　新富町
45,児湯郡　西米良村
45,児湯郡　木城町
45,児湯郡　川南町
45,児湯郡　都農町
45,東臼杵郡　門川町
45,東臼杵郡　諸塚村
45,東臼杵郡　椎葉村
45,東臼杵郡　美郷町
45,西臼杵郡　高千穂町
45,西臼杵郡　日之影町
45,西臼杵郡　五ヶ瀬町
46,鹿児島市
46,鹿屋市
46,枕崎市
46,阿久根市
46,出水市
46,指宿市
46,西之表市
46,垂水市
46,薩摩川内市
46,日置市
46,曽於市
46,霧島市
46,いちき串木野市
46,南さつま市
46,志布志市
46,奄美市
46,南九州市
46,伊佐市
46,姶良市
46,鹿児島郡　十島村
46,川辺郡　川辺町
46,薩摩郡　さつま町
46,姶良郡　湧水町
46,曽於郡　大崎町
46,肝属郡　東串良町
46,肝属郡　錦江町
46,肝属郡　南大隅町
46,肝属郡　肝付町
46,熊毛郡　中種子町
46,熊毛郡　南種子町
46,熊毛郡　屋久島町
46,大島郡　大和村
46,大島郡　宇検村
46,大島郡　瀬戸内町
46,大島郡　龍郷町
46,大島郡　喜界町
46,大島郡　徳之島町
46,大島郡　天城町
46,大島郡　伊仙町
46,大島郡　和泊町
46,大島郡　知名町
46,大島郡　与論町
47,那覇市
47,宜野湾市
47,石垣市
47,浦添市
47,名護市
47,糸満市
47,沖縄市
47,豊見城市
47,うるま市
47,宮古島市
47,南城市
47,国頭郡　国頭村
47,国頭郡　大宜味村
47,国頭郡　東村
47,国頭郡　今帰仁村
47,国頭郡　本部町
47,国頭郡　恩納村
47,国頭郡　宜野座村
47,国頭郡　金武町
47,国頭郡　伊江村
47,中頭郡　読谷村
47,中頭郡　嘉手納町
47,中頭郡　北谷町
47,中頭郡　北中城村
47,中頭郡　中城村
47,中頭郡　西原町
47,島尻郡　与那原町
47,島尻郡　南風原町
47,島尻郡　渡嘉敷村
47,島尻郡　座間味村
47,島尻郡　粟国村
47,島尻郡　渡名喜村
47,島尻郡　南大東村
47,島尻郡　北大東村
47,島尻郡　伊平屋村
47,島尻郡　伊是名村
47,島尻郡　久米島町
47,島尻郡　八重瀬町
47,宮古郡　多良間村
47,八重山郡　竹富町
47,八重山郡　与那国町
