M130000935,東京都足立区梅島三丁目５番７号
M130001414,東京都足立区千住橋戸町１１番地２０勝生ビル２０１
M130001931,東京都足立区谷在家三丁目１７番１４号
M130002080,東京都足立区柳原二丁目４０番地１７
M130002089,東京都足立区興野一丁目６番１４号
M130002091,東京都足立区西綾瀬三丁目６番６号
M130002128,東京都足立区千住五丁目１５番６号
M130002252,東京都足立区入谷一丁目９番９号
M130002274,東京都足立区入谷一丁目２１番１７号
M130002330,東京都足立区扇二丁目２６番５号
M130002621,東京都足立区関原二丁目２５番７号フォーシーズン
M130002657,東京都足立区千住仲町４９番１０号
M130002855,東京都足立区新田一丁目７番４号リバーハイツ201
M130002856,東京都足立区新田一丁目７番４号リバーハイツ202
M130003250,東京都足立区六木三丁目４１番２号ハイツＮＡＯ201
M130003509,東京都足立区千住東二丁目１８番１３号　Ｂ棟
M130004129,東京都足立区西新井栄町一丁目１４番１４号
M130004139,東京都足立区西新井五丁目３５番１５号
M130004318,東京都足立区西竹の塚一丁目１７番２号前田ビル３F
M130004931,東京都足立区竹の塚一丁目３０番７号ヴェンアモールアパートメント2F
M130004932,東京都足立区竹の塚一丁目３０番７号ヴェンアモールアパートメント3F
M130004934,東京都足立区竹の塚一丁目３０番７号ヴェンアモールアパートメント4F
M130005262,東京都足立区西竹の塚一丁目１６番１５号宇沢宅
M130005492,東京都足立区江北七丁目２２番５号ノーアーク江北3F
M130005500,東京都足立区江北七丁目２２番５号ノーアーク江北2F
M130005501,東京都足立区江北七丁目２２番５号ノーアーク江北1F
M130005877,東京都足立区伊興四丁目１番２号
M130006395,東京都足立区扇一丁目５０番２８号扇グリーンマンション1A
M130006396,東京都足立区扇一丁目５０番２８号扇グリーンマンション3A
M130006397,東京都足立区扇一丁目５０番２８号扇グリーンマンション2A
M130006398,東京都足立区扇一丁目５０番２８号扇グリーンマンション3B
M130006399,東京都足立区扇一丁目５０番２８号扇グリーンマンション1B
M130006400,東京都足立区扇一丁目５０番２８号扇グリーンマンション2B
M130007152,東京都足立区伊興本町一丁目１１番６号
M130007760,東京都足立区千住河原町１６番４号
M130008486,東京都足立区竹の塚一丁目３０番７号ヴェンアモールアパートメント1F
M130008736,東京都足立区千住緑町一丁目２０番２号サカイリ緑町ハイツ101
M130009043,東京都足立区柳原二丁目４番９号シックスセンス北千住101
M130009044,東京都足立区東和一丁目１番１０号プリズムコート綾瀬603
M130009045,東京都足立区東和一丁目１番１０号プリズムコート綾瀬701
M130009306,東京都足立区千住仲町３３番３号ＬａＬａＣＵＢＥ101
M130009307,東京都足立区千住仲町３３番３号ＬａＬａＣＵＢＥ102
M130009308,東京都足立区千住仲町３３番３号ＬａＬａＣＵＢＥ201
M130009309,東京都足立区千住仲町３３番３号ＬａＬａＣＵＢＥ202
M130009527,東京都足立区千住緑町一丁目２０番２号サカイリ千住緑町ハイツ201
M130009827,東京都足立区千住四丁目２３番１２号
M130010034,東京都足立区千住橋戸町６２番地２
M130010207,東京都足立区伊興三丁目１８番１４号グランクラス401
M130011703,東京都足立区千住橋戸町１番地７４