M130002768,東京都中野区南台１－５－８ 101
M130007184,東京都中野区南台１－５－８ エミリオ西新宿10
M130006204,東京都中野区南台１－５－８ エミリオ西新宿20
M130007789,東京都中野区南台１―５―８ エミリオ西新宿20
M130005246,東京都中野区南台１－５－８ エミリオ西新宿30
M130002228,東京都中野区南台５－２３－１９
M130001011,東京都中野区弥生町１－２７－９
M130000549,東京都中野区弥生町１－４２－６ 2F
M130000550,東京都中野区弥生町１－４２－６ 3F
M130000551,東京都中野区弥生町１－４２－６ 4F
M130009731,東京都中野区弥生町１－４２－６ コスモ弥生405
M130009029,東京都中野区弥生町１－４２－６
M130008671,東京都中野区弥生町２－７－１１
M130010354,東京都中野区弥生町２－１５－３ 101
M130010356,東京都中野区弥生町２－１５－３ 102
M130010357,東京都中野区弥生町２－１５－３ 201
M130010358,東京都中野区弥生町２－１５－３ 301
M130002334,東京都中野区弥生町３－２４－２４ リコーハウス
M130006550,東京都中野区弥生町４－１－９
M130001563,東京都中野区弥生町４－７－１６
M130002070,東京都中野区弥生町４－７－１６
M130008093,東京都中野区弥生町４－１８－４
M130002221,東京都中野区弥生町５－５－１１
M130009517,東京都中野区本町１－２５－１５ ヒルトップコート
M130007656,東京都中野区本町１－２９－７
M130010685,東京都中野区本町２－２８－１４
M130002286,東京都中野区本町２－３９－４
M130001138,東京都中野区本町３－１２－２ ライズ中野新橋209
M130008441,東京都中野区本町３－２９－１３ 第七山一ビル702
M130003895,東京都中野区本町４－３６－３ 202
M130003896,東京都中野区本町４－３６－３ 203
M130003898,東京都中野区本町４－３６－３ 204
M130003317,東京都中野区本町４－４４－７ 101
M130010717,東京都中野区本町４－４４－７ 105
M130010824,東京都中野区本町４－４４－７ 203
M130003322,東京都中野区本町４－４４－７ 205
M130003327,東京都中野区本町４－４４－７ 206
M130008588,東京都中野区中央４－５８－１
M130005535,東京都中野区本町５－７－９ クレイン本町101
M130006925,東京都中野区本町６－２７－７
M130003262,東京都中野区本町６－２８－３ 伸和ハウス102
M130003264,東京都中野区本町６－２８－３ 伸和ハウス201
M130003266,東京都中野区本町６－２８－３ 伸和ハウス203
M130008530,東京都中野区中央１－２－５
M130006154,東京都中野区中央２－２６－５ 201
M130006155,東京都中野区中央２－２６－５ 203
M130004392,東京都中野区中央３－３３－４
M130005953,東京都中野区中央４－１－２１
M130009421,東京都中野区中央４－２０－１１ 101
M130009423,東京都中野区中央４－２０－１１ 102
M130008212,東京都中野区中央４－３７－２１ 和田ビル2F
M130006548,東京都中野区中央４－５８－１３
M130000977,東京都中野区東中野１－２－４
M130007170,東京都中野区東中野１－３５－１７
M130002254,東京都中野区東中野１－５２－５ １００室　五彩居マンション
M130003737,東京都中野区東中野３－２４－１５
M130000828,東京都中野区東中野５－６－４ トムス東中野405
M130007471,東京都中野区東中野５－６－４ トムス東中野302
M130004273,東京都中野区東中野５－１１－８ メゾン小滝台102
M130006926,東京都中野区中野１－５－１ 3F
M130000808,東京都中野区中野１－１５－６
M130000255,東京都中野区中野１－１５－７
M130008758,東京都中野区中野５－１－１０ 101
M130001640,東京都中野区中野５－４６－５ 東陽ハウス201 
M130001647,東京都中野区中野５－４６－５ 東陽ハウス202 
M130001655,東京都中野区中野５－４６－５ 東陽ハウス203 
M130001659,東京都中野区中野５－４６－５ 東陽ハウス204 
M130001662,東京都中野区中野５－４６－５ 東陽ハウス301 
M130001773,東京都中野区中野５－４６－５ 東陽ハウス302 
M130001783,東京都中野区中野５－４６－５ 東陽ハウス401 
M130001789,東京都中野区中野５－４６－５ 東陽ハウス402 
M130001797,東京都中野区中野５－４６－５ 東陽ハウス403 
M130001804,東京都中野区中野５－４６－５ 東陽ハウス404 
M130003856,東京都中野区中野５－５３－４
M130005643,東京都中野区中野５－６７－６ ビジネスハイツ中野603
M130005222,東京都中野区中野６－１－６
M130006727,東京都中野区中野６－２８－７ ファインビル101
M130006731,東京都中野区中野６－２８－７ ファインビル102
M130006732,東京都中野区中野６－２８－７ ファインビル201
M130006733,東京都中野区中野６－２８－７ ファインビル202
M130009607,東京都中野区中野６－２８－７ ファインビル301
M130006734,東京都中野区中野６－２８－７ ファインビル302
M130002645,東京都中野区上高田３－４－１３
M130000417,東京都中野区上高田３－１８－１５
M130000011,東京都中野区上高田５－２５－６ ファミーユ若林202
M130003275,東京都中野区上高田５－４３－１ Ｋ＆Ｋビル４階５階
M130000418,東京都中野区沼袋２－６－９ 1F
M130000419,東京都中野区沼袋２－６－９ 2F
M130002604,東京都中野区沼袋２－３３－２４
M130011080,東京都中野区松が丘１－１６－２ 
M130000025,東京都中野区松が丘１－１９－３ 1F
M130003961,東京都中野区松が丘１－１９－３ 2F
M130008692,東京都中野区松が丘１－２６－９ 
M130006581,東京都中野区野方１－２５－１０
M130000975,東京都中野区野方１－２９－１７
M130009136,東京都中野区野方１－４２－１０ 
M130011568,東京都中野区野方１－５０－６ 
M130005149,東京都中野区大和町１－１７－６
M130002193,東京都中野区大和町１－４３－１２
M130008235,東京都中野区大和町１－５２－２ 102 
M130008234,東京都中野区大和町１－５２－２ 202 
M130009137,東京都中野区大和町１－６３－９ 
M130000002,東京都中野区大和町３－１－５
M130000155,東京都中野区若宮１－１８－１２
M130003272,東京都中野区若宮３－３－１０ 211
M130000817,東京都中野区白鷺２－３－５
M130000256,東京都中野区鷺宮１－５－２
M130000991,東京都中野区鷺宮３－１－１４ 都立家政駅前インターナショナルレジデンス202
M130002918,東京都中野区鷺宮３－１－１４ 都立家政駅前インターナショナルレジデンス204
M130008439,東京都中野区鷺宮３－１－１４ 都立家政駅前インターナショナルレジデンス205
M130000992,東京都中野区鷺宮３－１－１４ 都立家政駅前インターナショナルレジデンス302
M130000993,東京都中野区鷺宮３－１－１４ 都立家政駅前インターナショナルレジデンス303
M130000990,東京都中野区鷺宮３－１－１４ 都立家政駅前インターナショナルレジデンス304
M130008684,東京都中野区鷺宮３－６－１
M130000774,東京都中野区鷺宮３－１８－１
M130010391,東京都中野区上鷺宮３－１５－７